mes;novos_negocios;fechamentos;receita_ganha;ticket_medio;crescimento_receita_pct;conversao_novos_neg_pct;perdidos;pipeline_aberto_fim_mes;valor_pipeline_aberto
2025-01;24;3;18400.00;6133.33;;16.7;20;396;879730.98
2025-02;110;3;37500.00;12500.00;103.8;5.5;27;477;953030.98
2025-03;12;1;10500.00;10500.00;-72.0;16.7;18;471;1008730.98
2025-04;29;6;75800.00;12633.33;621.9;31.0;40;454;1143640.98
2025-05;28;7;64160.00;9165.71;-15.4;17.9;61;412;1164705.98
2025-06;22;12;77000.00;6416.67;20.0;40.9;20;402;1158055.98
2025-07;49;10;69640.00;6964.00;-9.6;40.8;30;411;1295927.98
2025-08;37;14;105200.00;7514.29;51.1;29.7;15;419;1451491.96
2025-09;39;11;82313.98;7483.09;-21.8;33.3;6;441;1663597.98
2025-10;32;10;112150.00;11215.00;36.2;25.0;18;445;1731462.27
2025-11;58;13;99460.00;7650.77;-11.3;13.8;8;482;1900012.27
2025-12;27;11;138289.29;12571.75;39.0;37.0;6;492;1895607.66
2026-01;59;14;180131.72;12866.55;30.3;28.8;20;517;2254713.66
2026-02;59;15;198165.00;13211.00;10.0;27.1;17;544;2405608.66
2026-03;82;17;210700.00;12394.12;6.3;11.0;29;580;2356473.66
2026-04;75;17;167350.00;9844.12;-20.6;14.7;28;610;2769898.66
2026-05;92;13;118300.00;9100.00;-29.3;6.5;22;667;3248603.66
2026-06;77;4;20650.00;5162.50;-82.5;1.3;22;718;3509083.66
