key;keyType;organization;cnpj;wonDeals;repeatDeals;totalRevenue;repeatRevenue;firstWonMonth;lastWonMonth;types
cnpj:11419309000137;organization_name;Cond. João Heráclio;11419309000137;5;4;126200;110000;2025-02;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular, PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS, OBRA"
org:le parc;organization_name;Edificio Le Parc;;2;1;115800;102000;2025-02;2026-02;"LSPDA, LDC - Laudo de disponibilidade de carga"
cnpj:10383770000114;organization_name;Edf Madalena Colonial;10383770000114;2;1;53300;45000;2025-10;2026-04;"LDC - Laudo de disponibilidade de carga, CDM"
org:verano adm;organization_name;Verano ADM;;2;1;50531.72;43031.72;2026-01;2026-01;"PIE - Projeto infra.  Eletrocalha e Emergência, OBRA, Instalação de Carregador Eletrico"
org:montendre;organization_name;Cond. Montendre;;2;1;51249.29;33649.29;2025-04;2025-12;"LIE - Laudo de Instalações Elétricas, PROJETOS, LSPDA, OBRA"
cnpj:10395888000162;organization_name;Edf Samsara;10395888000162;3;2;37500;32500;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA, PIE - Projeto infra.  Eletrocalha e Emergência"
cnpj:14006221000181;organization_name;Enseada do Mar;14006221000181;3;2;35000;27500;2025-02;2026-04;"PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS, OBRA, Obras eletricas"
cnpj:04239390000108;organization_name;Edf Terra Brasilis;04239390000108;4;3;37100;20100;2025-08;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, OBRA, ICV - Inspeção de carregador veicular"
org:cristiano;organization_name;Edf Cristiano;;2;1;24500;20000;2025-10;2025-10;"PIE - Projeto infra.  Eletrocalha e Emergência, OBRA"
org:castelo blois;organization_name;Edf Castelo de Blois;;2;1;25800;19800;2025-09;2026-01;"LIE - Laudo de Instalações Elétricas, OBRA"
cnpj:11467141000135;organization_name;Edf Luar das Ubaias;11467141000135;2;1;30860;19700;2025-05;2025-12;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, Obras eletricas"
org:maria carolina;organization_name;Edf Maria Carolina;;2;1;24440;19440;2025-06;2025-12;"LIE - Laudo de Instalações Elétricas, Obras eletricas"
cnpj:15066354000106;organization_name;Edf Quinta Tereza Beltrão;15066354000106;2;1;25360;17800;2025-11;2026-03;"LDC - Laudo de disponibilidade de carga, OBRA, CDM"
cnpj:11236467000151;organization_name;Edf Morada Rosarinho;11236467000151;3;2;22750;17750;2025-05;2026-02;"LDC - Laudo de disponibilidade de carga, LIE - Laudo de Instalações Elétricas, PROJETOS, OBRA"
cnpj:10528059000100;organization_name;Edf Quinta do Algarve;10528059000100;2;1;21800;17000;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA"
org:praia japaratinga;organization_name;Edf Praia de Japaratinga;;2;1;16040;10540;2025-06;2025-07;"LIE - Laudo de Instalações Elétricas, OBRA"
org:carmen costa;organization_name;Condomínio Carmen Costa;;2;1;16200;9200;2026-04;2026-06;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
cnpj:04113342000179;organization_name;Edf Turmalina;04113342000179;2;1;16000;8000;2025-08;2026-04;"LDC - Laudo de disponibilidade de carga, PROJETOS"
cnpj:03034724000144;organization_name;Edf Porto dos Corais;03034724000144;2;1;11000;6500;2025-11;2026-02;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
cnpj:17570372000156;organization_name;Condominio do Edificio Lucilo Maranhao;17570372000156;2;1;13500;6000;2026-03;2026-05;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
org:pichilau vila esperanca;organization_name;Pichilau Vila Esperança;;2;1;9000;5500;2025-06;2025-06;PROJETOS
cnpj:02072321000127;organization_name;Edf Carla Dias;02072321000127;2;1;10000;5000;2025-07;2025-12;"LDC - Laudo de disponibilidade de carga, PROJETOS"
cnpj:24565913000113;organization_name;Edf Morada Ilha Verde;24565913000113;2;1;13000;5000;2025-07;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
cnpj:04107259000197;organization_name;Edf MIllennium;04107259000197;2;1;12000;5000;2025-07;2025-09;"LDC - Laudo de disponibilidade de carga, PROJETOS"
cnpj:35466861000144;organization_name;Edf Sobrado do Capibaribe;35466861000144;2;1;16000;5000;2025-11;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, PROJETOS"
org:cidade recife;organization_name;Edf Cidade do Recife;;2;1;10500;5000;2026-02;2026-05;"LDC - Laudo de disponibilidade de carga, PROJETOS"
org:villa casa forte;organization_name;Edf Villa Casa Forte;;2;1;9500;4500;2025-12;2026-02;"Laudos e consultoria condominial, OBRA"
cnpj:20635205000150;organization_name;Cond Saint Eduardo;20635205000150;2;1;11200;4200;2025-06;2026-04;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
cnpj:13537008000133;organization_name;Edf Luis dias lins;13537008000133;2;1;13500;4000;2025-08;2025-09;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
cnpj:05044739000119;organization_name;Edf Walter Turton;05044739000119;2;1;9000;3000;2025-11;2025-12;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
cnpj:03521109000162;organization_name;Cond. The Plaza;03521109000162;2;1;12700;2700;2025-08;2026-06;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
cnpj:05295147000170;organization_name;Edf Cristiano;05295147000170;2;1;6600;2600;2025-07;2025-09;LDC - Laudo de disponibilidade de carga
cnpj:24134330000138;organization_name;Edf Villa das Pedras;24134330000138;2;1;7400;2400;2025-06;2025-07;"LDC - Laudo de disponibilidade de carga, LIE - Laudo de Instalações Elétricas"
cnpj:04022882000147;organization_name;Edificio Principe de Toscana;04022882000147;2;1;6000;2000;2025-08;2025-10;LDC - Laudo de disponibilidade de carga
cnpj:15055733000109;organization_name;Edf Praça do Mar;15055733000109;2;1;7600;1600;2025-04;2025-08;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
cnpj:08888803000136;organization_name;condomínio Residencial Estrela;08888803000136;2;1;9600;1300;2025-08;2025-08;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
