month;subgroup;wonDeals;revenue;averageTicket
2026-01;Obras elétricas gerais/indefinidas;2;47800;23900
2026-01;Infraestrutura de carregamento veicular;1;43031.72;43031.72
2026-01;CDM - obra/ampliação de centro de medição;1;17000;17000
2026-02;Obras elétricas gerais/indefinidas;2;19750;9875
2026-02;Infraestrutura de carregamento veicular;1;4500;4500
2026-03;Infraestrutura de carregamento veicular;1;83500;83500
2026-03;CDM - obra/ampliação de centro de medição;1;17800;17800
2026-03;ICV - inspeção de carregador veicular;1;1400;1400
2026-04;CDM - obra/ampliação de centro de medição;1;45000;45000
2026-04;Obras elétricas gerais/indefinidas;1;6500;6500
2026-06;Obras elétricas gerais/indefinidas;4;69020;17255
2026-06;Adequação/correção elétrica geral;1;950;950
